time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1604268000,11100.8,11225.6,10957.4,11089,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,573203,-0.10629864514268587,-0.10629864514268587,-0.10629864514268587,-0.10629864514268587,-0.10629864514268587,-0.10629864514268587,0.18792576932111157,0.18792576932111157
1604354400,11089,11362,11081.6,11261.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421329,1.4503459210147018,1.4503459210147018,1.4503459210147018,1.4503459210147018,1.558301019027859,1.558301019027859,1.6041140382533317,1.6041140382533317
1604440800,11261.8,11858.2,11245.8,11829.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800196,6.561689247621806,6.561689247621806,6.561689247621806,6.561689247621806,5.038270969116851,5.038270969116851,4.939498243497402,4.939498243497402
1604527200,11829.2,12131.6,11784.8,12104.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655337,9.040789852983574,9.040789852983574,9.040789852983574,9.040789852983574,2.3264464207215947,2.3264464207215947,2.7974522292993598,2.7974522292993598
1604613600,12104.4,12118.8,11879.8,12104.4,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,633268,9.040789852983574,9.040789852983574,9.040789852983574,9.040789852983574,0,0,0.20364575572443555,0.20364575572443555
1604872800,12104.4,12418.4,11822.8,11856,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453184,6.803113289132321,6.803113289132321,-2.0521463269554845,-2.0521463269554845,-2.0521463269554845,-2.0521463269554845,-1.9403503548211039,-1.9403503548211039
1604959200,11856,11910.7,11513.2,11633.2,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,965216,4.7960507350821695,4.7960507350821695,-3.892799312646632,-3.892799312646632,-1.8792172739541098,-1.8792172739541098,-1.7067730160876031,-1.7067730160876031
1605045600,11633.2,11927,11585.4,11903.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540297,7.228307869703097,7.228307869703097,-1.662205478999363,-1.662205478999363,2.320943506515834,2.320943506515834,2.3561379974546828,2.3561379974546828
1605132000,11903.2,11984.2,11785.8,11872.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456903,6.950850389161145,6.950850389161145,-1.9166584052080236,-1.9166584052080236,-0.2587539485180547,-0.2587539485180547,-0.15977933632709354,-0.15977933632709354
1605218400,11872.4,11960.8,11810.2,11953.8,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283739,7.684130873450562,7.684130873450562,-1.2441756716565908,-1.2441756716565908,0.6856237997372026,0.6856237997372026,1.0174590565686923,1.0174590565686923
1605477600,11953.8,12072.6,11861,12049.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369992,8.543528394349972,8.543528394349972,0.7980725794308209,0.7980725794308209,0.7980725794308209,0.7980725794308209,0.9061217653462921,0.9061217653462921
1605564000,12049.2,12094.6,11965,11980,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231244,7.920149899106378,7.920149899106378,0.2191771654202072,0.2191771654202072,-0.5743119875178495,-0.5743119875178495,-0.347701675289884,-0.347701675289884
1605650400,11980,12036.2,11872.4,11883.8,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235770,7.053545690400692,7.053545690400692,-0.5855878465425222,-0.5855878465425222,-0.8030050083472514,-0.8030050083472514,-0.8642407861588032,-0.8642407861588032
1605736800,11883.8,12008.6,11813.9,11974.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248612,7.869703084462384,7.869703084462384,0.17233013769680242,0.17233013769680242,0.7623824029350912,0.7623824029350912,0.61168246286213,0.61168246286213
1605823200,11974.4,12029.8,11882.8,11917.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174330,7.358028250216211,7.358028250216211,-0.30283257206912373,-0.30283257206912373,-0.47434526990913345,-0.47434526990913345,-0.6088102346838357,-0.6088102346838357
1606082400,11917.6,12011.4,11818.6,11927.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191382,7.446310175843187,7.446310175843187,0.08223132174262664,0.08223132174262664,0.08223132174262664,0.08223132174262664,0.11751473131096078,0.11751473131096078
1606168800,11927.4,12114.2,11883,12111.6,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170667,9.105650043240137,9.105650043240137,1.6278445324561992,1.6278445324561992,1.5443432768247962,1.5443432768247962,1.6636728389880364,1.6636728389880364
1606255200,12111.6,12186.6,12087.8,12178.2,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178184,9.705606803113302,9.705606803113302,2.186681882258176,2.186681882258176,0.5498860596453017,0.5498860596453017,0.7678686679795546,0.7678686679795546
