armed_dt,direction,entry_price,touch_dt,regime_ratio,outcome_fixed_stop
2025-02-21 04:45 ET,bull,22163.25,2025-02-21 05:00 ET,0.5022,win
2025-02-21 14:30 ET,bear,21723.25,2025-02-23 18:00 ET,0.5351,win
2025-02-24 10:00 ET,bear,21580.75,2025-02-24 10:15 ET,0.5242,win
2025-02-24 21:30 ET,bear,21437.75,2025-02-24 21:45 ET,0.5153,win
2025-02-25 02:30 ET,bear,21381.75,2025-02-25 03:00 ET,0.6,win
2025-02-25 08:00 ET,bull,21417.75,2025-02-25 08:15 ET,1.1467,loss
2025-02-25 10:30 ET,bear,21125.75,2025-02-25 10:45 ET,0.5689,win
2025-02-26 11:15 ET,bull,21359.25,2025-02-26 11:30 ET,0.6099,win
2025-02-26 19:30 ET,bear,21163.5,2025-02-26 19:45 ET,0.4071,win
2025-02-27 01:30 ET,bull,21270.25,2025-02-27 03:00 ET,0.5826,win
2025-02-27 02:30 ET,bull,21307.25,2025-02-27 02:45 ET,0.9912,loss
2025-02-27 07:15 ET,bull,21347.75,2025-02-27 07:45 ET,0.4862,loss
2025-02-27 12:00 ET,bear,21029.5,2025-02-27 12:15 ET,0.7887,win
2025-02-27 21:45 ET,bear,20601.0,2025-02-27 23:15 ET,0.3329,win
2025-03-03 07:15 ET,bull,21072.0,2025-03-03 07:30 ET,0.6278,ambiguous
2025-03-04 07:30 ET,bear,20371.5,2025-03-04 07:45 ET,0.6372,win
2025-03-04 14:15 ET,bull,20535.75,2025-03-04 15:30 ET,1.4934,ambiguous
2025-03-04 15:15 ET,bull,20641.75,2025-03-04 15:30 ET,1.4238,loss
2025-03-05 11:15 ET,bear,20309.25,2025-03-05 11:45 ET,0.6613,ambiguous
2025-03-05 14:15 ET,bull,20632.25,2025-03-05 14:30 ET,1.6094,win
2025-03-06 07:15 ET,bear,20408.5,2025-03-06 07:30 ET,1.3358,win
2025-03-06 22:15 ET,bear,20186.0,2025-03-06 23:00 ET,0.9474,win
2025-03-07 01:00 ET,bear,20157.25,2025-03-07 02:00 ET,0.6588,loss
2025-03-07 11:45 ET,bear,19842.5,2025-03-07 12:00 ET,1.0303,ambiguous
2025-03-10 13:45 ET,bear,19483.0,2025-03-10 14:00 ET,1.3069,win
2025-03-10 15:00 ET,bear,19367.0,2025-03-10 15:15 ET,1.5998,loss
2025-03-10 19:30 ET,bear,19321.75,2025-03-10 19:45 ET,1.365,win
2025-03-10 21:00 ET,bear,19226.0,2025-03-10 21:30 ET,0.9281,loss
2025-03-12 05:00 ET,bull,19528.75,2025-03-12 05:15 ET,0.8364,win
2025-03-12 06:45 ET,bull,19542.25,2025-03-12 10:30 ET,0.8422,win
2025-03-12 08:45 ET,bull,19642.5,2025-03-12 09:45 ET,0.4752,ambiguous
2025-03-12 19:15 ET,bull,19638.5,2025-03-12 21:00 ET,1.2656,loss
2025-03-12 20:00 ET,bull,19678.5,2025-03-12 20:15 ET,1.3201,loss
2025-03-12 23:45 ET,bear,19535.5,2025-03-13 00:00 ET,1.0191,win
2025-03-13 00:45 ET,bear,19499.25,2025-03-13 01:15 ET,1.3668,win
2025-03-13 20:45 ET,bull,19397.75,2025-03-13 21:00 ET,1.3116,win
2025-03-14 14:45 ET,bull,19652.0,2025-03-14 15:30 ET,2.0544,win
2025-03-16 19:00 ET,bear,19580.75,2025-03-16 19:15 ET,1.3591,loss
2025-03-17 02:30 ET,bear,19578.0,2025-03-17 02:45 ET,1.3441,loss
2025-03-17 07:15 ET,bull,19692.5,2025-03-17 07:30 ET,1.3367,ambiguous
2025-03-17 08:45 ET,bull,19741.25,2025-03-17 09:00 ET,0.9114,loss
2025-03-17 14:45 ET,bull,19924.0,2025-03-17 15:00 ET,1.9995,loss
2025-03-18 04:30 ET,bull,20014.0,2025-03-18 04:45 ET,1.492,loss
2025-03-18 09:00 ET,bear,19918.75,2025-03-18 09:15 ET,0.9472,win
2025-03-19 03:45 ET,bear,19691.25,2025-03-19 04:00 ET,0.8731,loss
2025-03-19 22:30 ET,bull,20058.75,2025-03-19 22:45 ET,1.8108,loss
2025-03-19 23:15 ET,bull,20079.75,2025-03-19 23:30 ET,1.4099,loss
2025-03-20 06:30 ET,bear,19812.5,2025-03-20 06:45 ET,0.7806,win
2025-03-20 14:30 ET,bear,19842.75,2025-03-20 14:45 ET,1.8588,loss
2025-03-20 19:15 ET,bear,19864.25,2025-03-20 19:30 ET,1.0593,loss
2025-03-20 22:30 ET,bear,19907.5,2025-03-20 22:45 ET,1.8436,win
2025-03-20 23:15 ET,bear,19895.75,2025-03-21 03:00 ET,1.4083,win
2025-03-21 01:45 ET,bear,19851.0,2025-03-21 02:00 ET,0.6506,loss
2025-03-21 03:45 ET,bear,19845.5,2025-03-21 04:00 ET,0.7735,win
2025-03-21 06:45 ET,bear,19810.0,2025-03-21 07:00 ET,1.3545,win
2025-03-24 01:15 ET,bull,20119.0,2025-03-24 01:30 ET,0.6236,win
2025-03-24 04:15 ET,bull,20193.5,2025-03-24 05:30 ET,1.4858,win
2025-03-24 06:45 ET,bull,20213.25,2025-03-24 07:00 ET,1.3508,win
2025-03-24 07:15 ET,bull,20235.25,2025-03-24 07:30 ET,0.638,win
2025-03-24 08:45 ET,bull,20261.5,2025-03-24 09:15 ET,1.0366,win
2025-03-24 19:45 ET,bull,20354.0,2025-03-24 20:00 ET,1.1195,loss
2025-03-24 21:00 ET,bull,20359.75,2025-03-24 21:30 ET,0.7228,loss
2025-03-25 08:00 ET,bull,20403.75,2025-03-25 08:45 ET,1.0355,win
2025-03-25 10:45 ET,bull,20461.0,2025-03-25 11:30 ET,1.0844,loss
2025-03-26 06:00 ET,bear,20448.0,2025-03-26 06:15 ET,1.4202,loss
2025-03-26 07:45 ET,bull,20481.5,2025-03-26 08:00 ET,0.6182,loss
2025-03-26 12:00 ET,bear,20205.25,2025-03-26 12:15 ET,1.1664,win
