time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.2,Order Sent Long,Order Sent Short
1785831600,29119,29131,29118,29127.25,,1069,797.65,1,29086.872322868898,4,0,0
1785831660,29128.25,29132.25,29125.75,29129.5,,589,750.85,1,29086.872322868898,4,0,0
1785831720,29129.5,29130.75,29115,29117.25,,750,730.45,1,29086.872322868898,4,0,0
1785831780,29116.5,29119.5,29111.75,29113.5,,561,688.5,1,29086.872322868898,4,0,0
1785831840,29113.5,29114.25,29099,29103,29089.91347821678,1054,705.15,1,29086.872322868898,4,0,0
1785831900,29103.75,29109.25,29102,29104.5,,504,700.05,1,29086.872322868898,4,0,0
1785831960,29105,29108.25,29101.5,29108,,327,657.7,1,29086.872322868898,4,0,0
1785832020,29107.75,29108.25,29096.75,29099,,577,651.6,1,29086.872322868898,4,0,0
1785832080,29098.25,29108.5,29097.25,29108.5,,473,633.8,1,29086.872322868898,4,0,0
1785832140,29107.75,29112.5,29103.5,29111.5,29091.969337434228,697,635.15,1,29086.872322868898,4,0,0
1785832200,29110,29111,29098.25,29102.25,,634,621.35,1,29095.081548579266,4,0,0
1785832260,29102,29107.5,29097.25,29100.25,,558,620.4,1,29095.081548579266,4,0,0
1785832320,29100.25,29101,29082.75,29083.25,,960,651.25,-1,29095.081548579266,4,0,0
1785832380,29082.75,29085.25,29072,29075,,1004,675.9,-1,29095.081548579266,4,0,0
1785832440,29075.25,29078.5,29063.75,29076,29090.448448154777,971,688.85,-1,29095.081548579266,4,0,0
1785832500,29077,29081.25,29072.75,29074.5,,627,683.35,-1,29095.081548579266,4,0,0
1785832560,29075,29075.25,29062.25,29065,,713,681.35,-1,29095.081548579266,4,0,0
1785832620,29064.75,29071,29060,29069.25,,765,698.1,-1,29095.081548579266,4,0,0
1785832680,29069,29071.75,29062.5,29071.25,,611,693,-1,29095.081548579266,4,0,0
1785832740,29070.75,29075.75,29067,29074.75,29088.953357854323,588,701.6,-1,29095.081548579266,4,0,0
1785832800,29074.75,29076.5,29064,29064.5,,628,679.55,-1,29095.081548579266,4,0,0
1785832860,29064.75,29068.5,29061.5,29066.5,,435,671.85,-1,29095.081548579266,4,0,0
1785832920,29066.25,29067.75,29062,29064,,363,652.5,-1,29095.081548579266,4,0,0
1785832980,29065.25,29069.5,29060.75,29061.75,,376,643.25,-1,29095.081548579266,4,0,0
1785833040,29061.75,29070.75,29060,29068.75,29087.029228534862,534,617.25,-1,29095.081548579266,4,0,0
1785833100,29068.75,29069,29050,29054.25,,1283,656.2,-1,29086.304365719512,4,0,0
1785833160,29054,29054.25,29037.75,29042,,1718,725.75,-1,29086.304365719512,4,0,0
1785833220,29042.75,29059.25,29040.25,29058,,1789,786.35,-1,29086.304365719512,4,0,0
1785833280,29058.25,29066.25,29056,29064.75,,720,798.7,-1,29086.304365719512,4,0,0
1785833340,29064.25,29065,29059.5,29060.25,29084.478825817256,459,786.8,-1,29086.304365719512,4,0,0
1785833400,29060.75,29066,29056.5,29063,,554,782.8,-1,29086.304365719512,4,0,0
1785833460,29063,29064.75,29058.75,29061,,428,776.3,-1,29086.304365719512,4,0,0
1785833520,29059.5,29064.75,29057.5,29061.5,,393,747.95,-1,29086.304365719512,4,0,0
1785833580,29062.5,29067.5,29060,29060.5,,433,719.4,-1,29086.304365719512,4,0,0
1785833640,29060.75,29065.25,29060,29064,29082.52846145371,231,682.4,-1,29086.304365719512,4,0,0
1785833700,29063.25,29074.75,29063.25,29071,,810,691.55,-1,29086.304365719512,4,0,0
1785833760,29071,29077.25,29070,29076.75,,505,681.15,-1,29086.304365719512,4,0,0
1785833820,29076.75,29077.75,29074.25,29075.5,,244,655.1,-1,29086.304365719512,4,0,0
1785833880,29076,29077,29071.75,29073.25,,315,640.3,-1,29086.304365719512,4,0,0
1785833940,29073.75,29074.25,29060,29069.25,29081.263846077163,825,652.15,-1,29086.304365719512,4,0,0
1785834000,29069,29069,29057.5,29059.75,,591,650.3,-1,29080.619577146343,4,0,0
1785834060,29061,29069.25,29050.25,29065,,770,667.05,-1,29080.619577146343,4,0,0
1785834120,29064,29067,29043.75,29048.25,,744,686.1,-1,29080.619577146343,4,0,0
1785834180,29048.5,29053.25,29048,29048.5,,465,690.55,-1,29080.619577146343,4,0,0
1785834240,29047.75,29048.75,29039.5,29046,29077.905384546004,865,707.1,-1,29080.619577146343,4,0,0
1785834300,29045.5,29051.5,29042.75,29042.75,,453,665.6,-1,29080.619577146343,4,0,0
1785834360,29043.25,29045.5,29032.75,29034.75,,1258,642.6,-1,29080.619577146343,4,0,0
1785834420,29035.75,29036.25,29022.75,29026.5,,1122,609.25,-1,29080.619577146343,4,0,0
1785834480,29026.5,29028,29020.25,29020.25,,547,600.6,-1,29080.619577146343,4,0,0
1785834540,29020.75,29025.75,29016.5,29023.5,29072.723919351145,996,627.45,-1,29080.619577146343,4,0,0
1785834600,29022.5,29027,29020.25,29021.75,,594,629.45,-1,29080.619577146343,4,0,0
1785834660,29022.75,29028.25,29017.25,29017.5,,616,638.85,-1,29080.619577146343,4,0,0
1785834720,29017,29031.25,29015.5,29024.25,,707,654.55,-1,29080.619577146343,4,0,0
1785834780,29023.5,29025.25,29012,29019.25,,931,679.45,-1,29080.619577146343,4,0,0
1785834840,29019,29038.75,29017.75,29033.5,29068.988307984368,916,713.7,-1,29080.619577146343,4,0,0
1785834900,29033.25,29036.25,29027.5,29028.75,,544,700.4,-1,29064.913051430896,4,0,0
1785834960,29028.75,29029.5,29014,29015.25,,1061,728.2,-1,29064.913051430896,4,0,0
1785835020,29014.75,29019.75,29007.5,29017.75,,1111,771.55,-1,29064.913051430896,4,0,0
1785835080,29017.25,29020,29009,29019,,547,783.15,-1,29064.913051430896,4,0,0
1785835140,29019.25,29025,29014,29022.75,29064.584659604905,510,767.4,-1,29064.913051430896,4,0,1
1785835200,29022.75,29026.25,29017.25,29024.5,,443,760,-1,29064.913051430896,4,0,0
1785835260,29025,29025.5,29015.75,29018.25,,360,739.5,-1,29064.913051430896,4,0,0
1785835320,29018.25,29023,29014.75,29021,,606,732.6,-1,29064.913051430896,4,0,0
1785835380,29022,29030.75,29020.5,29027,,685,743.6,-1,29064.913051430896,4,0,0
1785835440,29027.25,29030.75,29026.5,29027.5,29061.052787261582,334,717.05,-1,29064.913051430896,4,0,0
1785835500,29026.5,29031,29021,29027.75,,547,721.75,-1,29064.913051430896,4,0,0
