time,open,high,low,close,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: NPtMR 1.0,Order Sent Long,Order Sent Short,EMA,Volume,Volume MA
1785799800,28948,28950,28943.25,28943.75,1,28943.077910957356,2,0,0,,366,481.35
1785799860,28943.75,28947.25,28940.25,28947,1,28943.077910957356,2,0,0,,473,488.4
1785799920,28947.25,28955.75,28945.5,28954,1,28943.077910957356,2,0,0,,558,492.5
1785799980,28953.5,28955,28950.25,28951.75,1,28943.077910957356,2,0,0,,423,500.2
1785800040,28952.25,28960,28952.25,28956.25,1,28943.077910957356,2,0,0,,678,516.15
1785800100,28956.25,28957,28952.25,28953,1,28943.077910957356,2,0,0,,308,493.85
1785800160,28953,28957,28952,28955.25,1,28943.077910957356,2,0,0,,224,463.7
1785800220,28955,28956.25,28951.25,28952.25,1,28943.077910957356,2,0,0,,211,457.25
1785800280,28951.5,28951.75,28933.25,28936.5,-1,28943.077910957356,2,0,0,,1463,513.8
1785800340,28935.5,28939.25,28932,28937.5,-1,28943.077910957356,2,0,0,,913,504.1
1785800400,28938,28939.5,28936,28939,-1,28943.077910957356,2,0,0,,316,501.55
1785800460,28939.5,28946,28938.75,28943.5,1,28943.077910957356,2,0,0,,650,498.45
1785800520,28943.5,28946.75,28941,28942,-1,28943.077910957356,2,0,0,,304,500.8
1785800580,28942,28946,28941.75,28943.5,1,28943.077910957356,2,0,0,,178,473.3
1785800640,28944.25,28945.75,28938.75,28940.5,-1,28943.077910957356,2,0,0,28942.218607304905,350,472.6
1785800700,28940.5,28959.5,28939.5,28955.5,1,28942.218607304905,2,0,0,,1649,545.95
1785800760,28955,28957,28950,28955.75,1,28942.218607304905,2,0,0,,552,529.7
1785800820,28956.5,28964.75,28956.5,28959,1,28942.218607304905,2,0,0,,1457,582.05
1785800880,28959.25,28960.75,28953.25,28956,1,28942.218607304905,2,0,0,,578,595.25
1785800940,28955.5,28957.25,28952.75,28956.5,1,28942.218607304905,2,0,0,,313,598.2
1785801000,28955.75,28964,28954.5,28958,1,28942.218607304905,2,0,0,,633,611.55
1785801060,28957.75,28960.75,28950.25,28953.25,1,28942.218607304905,2,0,0,,672,621.5
1785801120,28953.75,28958.25,28952,28953,1,28942.218607304905,2,0,0,,310,609.1
1785801180,28954,28957,28948,28952,1,28942.218607304905,2,0,0,,650,620.45
1785801240,28953.25,28956.25,28950,28953,1,28942.218607304905,2,0,0,,281,600.6
1785801300,28952.5,28953.75,28948.5,28951.75,1,28942.218607304905,2,0,0,,217,596.05
1785801360,28952,28961.5,28951.5,28958.75,1,28942.218607304905,2,0,0,,571,613.4
1785801420,28958.75,28961.5,28956,28958,1,28942.218607304905,2,0,0,,385,622.1
1785801480,28958,28963,28957,28962.75,1,28942.218607304905,2,0,0,,369,567.4
1785801540,28962,28972.25,28958.75,28971.5,1,28942.218607304905,2,0,0,28951.979071536603,1496,596.55
1785801600,28971.25,28972,28940.25,28950.75,-1,28951.979071536603,2,0,0,,3772,769.35
1785801660,28951.5,28970.25,28948.5,28964,1,28951.979071536603,2,0,0,,1804,827.05
1785801720,28964.5,28970,28959.75,28964.75,1,28951.979071536603,2,0,0,,1147,869.2
1785801780,28964.5,28971,28960.5,28970.75,1,28951.979071536603,2,0,0,,1066,913.6
1785801840,28970.5,28979,28965.5,28966.75,1,28951.979071536603,2,0,0,,2171,1004.65
1785801900,28966.5,28974,28961.75,28967,1,28951.979071536603,2,0,0,,1270,985.7
1785801960,28967.5,28969.25,28957.5,28959.5,1,28951.979071536603,2,0,0,,1269,1021.55
1785802020,28959,28965.5,28947.25,28963,1,28951.979071536603,2,0,0,,1873,1042.35
1785802080,28963.5,28967.5,28958.25,28958.75,1,28951.979071536603,2,0,0,,708,1048.85
1785802140,28959,28973,28955.5,28961.25,1,28951.979071536603,2,0,0,,984,1082.4
1785802200,28963.25,28963.25,28950.25,28953,1,28951.979071536603,2,0,0,,997,1100.6
1785802260,28953.5,28954.5,28940.5,28947.5,-1,28951.979071536603,2,0,0,,1310,1132.5
1785802320,28948,28950,28925.75,28931.75,-1,28951.979071536603,2,0,0,,2619,1247.95
1785802380,28931.75,28935.5,28928,28930,-1,28951.979071536603,2,0,0,,889,1259.9
1785802440,28930.25,28937.75,28928.25,28931.5,-1,28951.979071536603,2,0,0,28945.152714357737,1146,1303.15
1785802500,28931.25,28933.5,28909.75,28913.5,-1,28945.152714357737,2,0,0,,3147,1449.65
1785802560,28914,28919,28907.5,28911.5,-1,28945.152714357737,2,0,0,,1638,1503
1785802620,28912,28920.5,28908.5,28914.25,-1,28945.152714357737,2,0,0,,1479,1557.7
1785802680,28913.75,28917.25,28902.5,28910.5,-1,28945.152714357737,2,0,0,,2012,1639.85
1785802740,28909.5,28919.5,28907.5,28912.75,-1,28945.152714357737,2,0,0,,859,1608
1785802800,28913.25,28924.75,28909,28923.75,-1,28945.152714357737,2,0,0,,1116,1475.2
1785802860,28924.25,28927,28918.25,28918.5,-1,28945.152714357737,2,0,0,,1224,1446.2
1785802920,28918,28919,28909.75,28911.75,-1,28945.152714357737,2,0,0,,1017,1439.7
1785802980,28912.5,28913.5,28900,28904.25,-1,28945.152714357737,2,0,0,,1840,1478.4
1785803040,28905.25,28919.25,28903.75,28913.5,-1,28945.152714357737,2,0,0,,1198,1429.75
1785803100,28913.75,28923.75,28907.25,28921.75,-1,28945.152714357737,2,0,0,,1099,1421.2
1785803160,28921.25,28922.75,28916,28921.25,-1,28945.152714357737,2,0,0,,701,1392.8
