time,open,high,low,close,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),Order Sent Long,Order Sent Short
1785761640,28465,28474.5,28464,28469.75,1377,1309.8,1,28465.920542124175,0,0
1785761700,28469.25,28472.25,28467,28469.25,728,1294.3,1,28465.920542124175,0,0
1785761760,28469.5,28479.75,28468,28469,1445,1316.4,1,28465.920542124175,0,0
1785761820,28468.75,28469.75,28458,28458.25,1436,1362.9,-1,28465.920542124175,0,0
1785761880,28458.25,28466.75,28453,28461.25,1516,1392.95,-1,28465.920542124175,0,0
1785761940,28461.5,28465.5,28455.5,28459.25,713,1378.7,-1,28465.920542124175,0,0
1785762000,28459.75,28472.5,28456,28459.25,1989,1400.3,-1,28463.697028082785,0,1
1785762060,28459.75,28464.25,28448.5,28457.25,1677,1416.65,-1,28463.697028082785,0,0
1785762120,28455.5,28458.5,28439,28442.75,2383,1479.55,-1,28463.697028082785,0,0
1785762180,28442.5,28457.25,28441.75,28453,1656,1475.55,-1,28463.697028082785,0,0
1785762240,28453.25,28467.5,28448.75,28466,1728,1490,1,28463.697028082785,0,0
1785762300,28466,28478.25,28461.5,28476.25,1972,1512.7,1,28463.697028082785,0,0
1785762360,28476.25,28477.5,28464.5,28467.75,1465,1528.75,1,28463.697028082785,0,0
1785762420,28467,28472.75,28459.75,28471.25,1701,1517.95,1,28463.697028082785,0,0
1785762480,28471.25,28471.25,28457.25,28460.75,1296,1509.5,-1,28463.697028082785,0,0
1785762540,28460.25,28462.5,28456,28459.5,1065,1494.45,-1,28463.697028082785,0,0
1785762600,28459.75,28467.25,28455.25,28466.5,1305,1486.5,1,28463.697028082785,0,0
1785762660,28466.25,28468.25,28452,28456.75,1324,1446.4,-1,28463.697028082785,0,0
1785762720,28456.25,28461.5,28450.25,28455,1173,1460.15,-1,28463.697028082785,0,0
1785762780,28455.5,28461.5,28445.5,28449.5,1511,1473,-1,28463.697028082785,0,0
1785762840,28449,28460.75,28442.25,28460.25,1724,1490.35,-1,28463.697028082785,0,0
