time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side),EMA,Volume,Volume MA
1785382320,27502.5,27520,27499.5,27511,-1,0,0,0,0,,1359,1191.3
1785382380,27510.75,27540,27503,27536.75,-1,0,0,0,0,,2251,1226.3
1785382440,27536.5,27549.25,27536.5,27547,-1,0,0,0,0,,1262,1247.8
1785382500,27548,27557.5,27534.5,27540.5,-1,0,0,0,0,,1574,1266.55
1785382560,27540.5,27544.25,27502.25,27510.5,-1,0,0,0,0,,2194,1318.5
1785382620,27510,27510.5,27492.5,27509,-1,0,1,0,0,,1542,1340.2
1785382680,27509.75,27512.75,27497.25,27500.25,-1,0,1,0,0,,1024,1363.5
1785382740,27499,27504,27490.5,27493,-1,0,0,0,0,,949,1317.25
1785382800,27493.25,27516.5,27486,27512.25,-1,0,0,0,0,,1604,1336.65
1785382860,27512,27524,27506.25,27523,-1,0,0,0,0,,1444,1357.75
1785382920,27522.5,27530.5,27514.25,27527,-1,0,0,0,0,,976,1368.2
1785382980,27528.5,27531.75,27522,27525.75,-1,0,0,0,0,,567,1336.95
1785383040,27525.75,27533,27517.5,27532,-1,0,0,0,0,27541.33358333735,772,1331.95
1785383100,27531.5,27539.5,27528.25,27537.75,-1,0,0,0,0,,973,1316.65
1785383160,27537.75,27543,27528.25,27531.5,-1,0,0,0,0,,826,1307.65
1785383220,27530.75,27543,27527.5,27529.25,-1,0,0,0,0,,718,1270.9
1785383280,27528.75,27554,27517,27553.5,1,0,0,0,0,,1922,1308.7
1785383340,27554,27563.5,27550,27550,1,0,0,0,0,,1492,1352.35
1785383400,27550.25,27557.5,27531.75,27555.75,1,0,0,0,0,,1565,1312.65
1785383460,27554.75,27562.5,27551,27560.5,1,1,0,0,0,,1026,1302
1785383520,27559.5,27560.75,27553,27554,1,0,0,0,0,,453,1256.7
1785383580,27554.75,27561.5,27549.25,27552,1,0,0,0,0,,447,1166.5
1785383640,27552.5,27556.25,27546.5,27549.5,1,0,0,0,0,,424,1124.6
1785383700,27550.25,27557.5,27542.25,27546.25,1,0,0,0,0,,924,1092.1
1785383760,27547,27560,27542.25,27555.5,1,0,0,0,0,,561,1010.45
1785383820,27555.75,27562.75,27537.75,27538.5,-1,0,0,0,0,,1023,984.5
1785383880,27538,27538.25,27520,27522.25,-1,0,0,0,0,,1831,1024.85
1785383940,27522.5,27533.5,27520.25,27529.75,-1,0,0,0,0,27537.472388891565,730,1013.9
1785384000,27532.25,27545.25,27518,27518.75,-1,0,1,0,0,,1363,1001.85
1785384060,27519.75,27540.5,27516.75,27537.75,-1,0,0,0,0,,1077,983.5
1785384120,27536.5,27540.5,27525.5,27531,-1,0,0,0,0,,852,977.3
1785384180,27531.75,27542,27522.25,27526.5,-1,0,0,0,0,,731,985.5
1785384240,27527.25,27536.25,27525,27531.75,-1,0,0,0,0,,561,974.95
1785384300,27532.25,27538.5,27529.5,27533.75,-1,0,0,0,0,,515,952.05
1785384360,27534,27538,27515.5,27518,-1,0,0,0,0,,889,955.2
1785384420,27518.75,27524.5,27508.25,27510.5,-1,0,0,0,0,,991,968.85
1785384480,27510.75,27512.5,27500.25,27506.5,-1,0,0,0,0,,1135,929.5
1785384540,27507.75,27508.5,27488.25,27489,-1,0,0,0,0,,1059,907.85
1785384600,27488.75,27494.75,27483.5,27487.25,-1,0,0,0,0,,1263,892.75
1785384660,27486.5,27494,27483,27488.75,-1,0,0,0,0,,657,874.3
1785384720,27488.5,27497.5,27481.75,27496.5,-1,0,0,0,0,,871,895.2
1785384780,27497.25,27497.75,27482.75,27488.75,-1,0,0,0,0,,601,902.9
1785384840,27488,27492.25,27481.25,27485.25,-1,0,0,0,0,27520.06492592771,605,911.95
1785384900,27485.25,27489.25,27468.75,27479.25,-1,0,0,0,0,,1636,947.55
1785384960,27479,27481.5,27467.5,27475.25,-1,0,0,0,0,,770,958
1785385020,27475.75,27475.75,27465.25,27471.5,-1,0,0,0,0,,699,941.8
1785385080,27471.25,27480,27467.25,27478.5,-1,0,0,0,0,,551,877.8
1785385140,27477.75,27479.75,27459.25,27471.5,-1,0,0,0,0,,1228,902.7
1785385200,27470.5,27488.25,27461.75,27484,-1,0,0,0,0,,1144,891.75
1785385260,27483,27499.5,27480.75,27492.75,-1,0,0,0,0,,1753,925.55
1785385320,27492.5,27493.75,27471.75,27492.5,-1,0,0,0,0,,981,932
1785385380,27492,27496,27486.5,27493,-1,0,0,0,0,,567,923.8
1785385440,27493.75,27494.75,27480.25,27491.5,-1,0,0,0,0,,648,928.15
1785385500,27490.75,27503.5,27487.75,27501,-1,0,0,0,0,,759,940.35
1785385560,27501.25,27516.75,27492.25,27515,-1,0,0,0,0,,1200,955.9
1785385620,27515.75,27537.25,27515,27536.75,-1,0,0,0,0,,1572,984.95
1785385680,27537.75,27542,27516.25,27521.5,-1,0,0,0,0,,1572,1006.8
1785385740,27521.75,27538.75,27519,27535,1,0,0,0,0,27525.043283951807,858,996.75
1785385800,27534,27535,27522.25,27529.25,1,0,0,0,0,,878,977.5
1785385860,27530,27537,27525,27536.75,1,0,0,0,0,,475,968.4
1785385920,27535,27538.25,27526.75,27529.75,1,0,0,0,0,,542,951.95
1785385980,27530,27543.5,27529.75,27535.5,1,0,0,0,0,,857,964.75
1785386040,27536,27540,27527,27530,1,0,0,0,0,,503,959.65
1785386100,27531,27543,27524.75,27533.25,1,0,0,0,0,,801,917.9
1785386160,27533.5,27537,27529,27533,1,0,0,0,0,,281,893.45
1785386220,27533.25,27536.25,27498.75,27519,-1,0,0,0,0,,1484,932.7
1785386280,27519,27519.5,27491.5,27499.5,-1,0,0,0,0,,1150,962.65
1785386340,27498.5,27498.5,27483.75,27492.75,-1,0,1,0,0,,1090,955.75
1785386400,27493,27503.75,27485.25,27494.75,-1,0,1,0,1,,1138,955.45
1785386460,27494.5,27497,27480.5,27483.25,-1,0,0,0,0,,984,917
1785386520,27483.25,27485.5,27468,27469.75,-1,0,0,0,0,,1118,923.85
1785386580,27468.75,27477,27460.5,27468,-1,0,0,0,0,,1130,952
1785386640,27468,27477,27461.25,27471.25,-1,0,1,0,1,27507.112189301206,879,963.55
1785386700,27471,27493.5,27465.75,27488.5,-1,0,0,0,0,,1287,989.95
1785386760,27488.5,27513,27483.5,27508,-1,0,0,0,0,,1312,995.55
1785386820,27507.25,27511.5,27492.5,27494.5,-1,0,0,0,0,,1079,970.9
1785386880,27494.25,27494.25,27471.75,27483,-1,0,0,0,0,,1276,956.1
1785386940,27483.5,27486.25,27478,27483.75,-1,0,0,0,0,,345,930.45
1785387000,27483.75,27486.5,27461.75,27463.5,-1,0,1,0,0,,766,924.85
1785387060,27462.5,27473,27456.75,27471.25,-1,0,0,0,0,,1130,957.6
1785387120,27471,27479.25,27464,27464.75,-1,0,0,0,0,,563,958.65
1785387180,27465.75,27469,27458.75,27459.5,-1,0,1,0,1,,672,949.4
1785387240,27459.25,27460.5,27445,27457.75,-1,0,0,0,0,,1367,992.6
1785387300,27457.25,27460.25,27451.75,27453.75,-1,0,0,0,0,,601,982.6
