time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume
1768964400,25179.75,25208.5,25178.5,25204.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6523
1768965300,25205,25227.5,25202.25,25221,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7205
1768966200,25222,25226.25,25202.25,25203.75,1,,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4342
1768967100,25204.25,25212.75,25185.75,25197.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6184
1768968000,25197,25212,25194,25196.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080
1768968900,25197.25,25213.75,25182.5,25206.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5024
1768969800,25206,25212.25,25198,25201,1,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3095
1768970700,25201.75,25207,25193.25,25196.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2459
1768971600,25196.25,25220,25185.25,25217.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5635
1768972500,25217.25,25218.5,25200.5,25211.75,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3351
1768973400,25210.25,25225.75,25210.25,25224.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2778
1768974300,25224.25,25225.5,25215.75,25220,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2524
1768975200,25220,25230.25,25211,25225,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4489
1768976100,25225.75,25228,25208.75,25219.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3739
1768977000,25220.25,25234.5,25212.5,25216,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5190
1768977900,25216,25216,25191.75,25196.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4898
1768978800,25196.25,25234.75,25193,25233.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6661
1768979700,25233.5,25246.75,25232.25,25240,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5495
1768980600,25239.75,25241,25229.5,25231.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3153
1768981500,25231,25231.5,25205,25212.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4486
1768982400,25212.75,25223.25,25195,25197.25,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7104
1768983300,25197.25,25233.5,25196.75,25221,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7016
1768984200,25220.25,25227.25,25208.25,25225,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5791
1768985100,25225,25228.25,25204,25204.75,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5213
1768986000,25204.25,25226.75,25193.5,25209.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7834
1768986900,25209.25,25216.5,25182.5,25195.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6506
1768987800,25195.75,25196,25170.25,25175.5,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6755
1768988700,25175.5,25176.5,25128.5,25129,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11309
1768989600,25129.5,25165.5,25121.75,25158.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9605
1768990500,25159,25183,25151.75,25177,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7013
1768991400,25177.5,25188.5,25171.5,25182.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4646
1768992300,25182.75,25187.75,25151.5,25153,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5007
1768993200,25153,25154,25133.25,25139,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6800
1768994100,25139,25159.75,25135.5,25142.25,0,1,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6414
1768995000,25143.25,25158.25,25109.25,25117.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10191
1768995900,25118,25119.25,25040.25,25047.75,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21736
