time,open,high,low,close,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1724709600,63265,63375,61450,61840,-5.211526670754139,-5.211526670754139,-4.0124175397749315,-4.0124175397749315,-2.252430253694776,-2.252430253694776,-2.252430253694776,-2.252430253694776,-2.252430253694776,-2.252430253694776,-2.252430253694776,-2.252430253694776,,
1724796000,60810,60810,57850,59355,-9.02053954629062,-9.02053954629062,-7.8696158323632135,-7.8696158323632135,-2.3926985693142577,-2.3926985693142577,-2.3926985693142577,-2.3926985693142577,-2.3926985693142577,-2.3926985693142577,-2.3926985693142577,-2.3926985693142577,,
1724882400,59460,61580,59170,59825,-8.300122624156959,-8.300122624156959,-7.140085370585952,-7.140085370585952,0.6138580558358561,0.6138580558358561,0.6138580558358561,0.6138580558358561,0.6138580558358561,0.6138580558358561,0.6138580558358561,0.6138580558358561,,
1724968800,59900,60320,58000,59300,-9.104843654199877,-9.104843654199877,-7.954986418315871,-7.954986418315871,-1.001669449081803,-1.001669449081803,-1.001669449081803,-1.001669449081803,-1.001669449081803,-1.001669449081803,-1.001669449081803,-1.001669449081803,,
1725228000,59165,60165,57325,58445,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,-1.2169356883292486,,
1725400800,58070,58825,55720,58305,-1.453562072171047,-1.453562072171047,-1.453562072171047,-1.453562072171047,0.4046840020664715,0.4046840020664715,0.4046840020664715,0.4046840020664715,0.4046840020664715,0.4046840020664715,0.4046840020664715,0.4046840020664715,,
1725487200,58450,58725,55965,56275,-4.884644637877123,-4.884644637877123,-4.884644637877123,-4.884644637877123,-3.721129170230967,-3.721129170230967,-3.721129170230967,-3.721129170230967,-3.721129170230967,-3.721129170230967,-3.721129170230967,-3.721129170230967,,
1725573600,56345,57275,52750,53000,-10.420011831319192,-10.420011831319192,-10.420011831319192,-10.420011831319192,-5.9366403407578305,-5.9366403407578305,-5.9366403407578305,-5.9366403407578305,-5.9366403407578305,-5.9366403407578305,-5.9366403407578305,-5.9366403407578305,,
1725832800,54445,57470,54445,57225,-3.27896560466492,-3.27896560466492,5.106070346220957,5.106070346220957,5.106070346220957,5.106070346220957,5.106070346220957,5.106070346220957,5.106070346220957,5.106070346220957,5.106070346220957,5.106070346220957,,
1725919200,57600,58260,56615,57805,-2.29865630017747,-2.29865630017747,6.171365598310221,6.171365598310221,0.3559027777777778,0.3559027777777778,0.3559027777777778,0.3559027777777778,0.3559027777777778,0.3559027777777778,0.3559027777777778,0.3559027777777778,,
1726005600,57770,58220,55645,57690,-2.493027972618947,-2.493027972618947,5.960143263844246,5.960143263844246,-0.138480180024234,-0.138480180024234,-0.138480180024234,-0.138480180024234,-0.138480180024234,-0.138480180024234,-0.138480180024234,-0.138480180024234,,
1726092000,57660,58775,57435,58395,-1.3014451111298908,-1.3014451111298908,7.255028009918266,7.255028009918266,1.2747138397502602,1.2747138397502602,1.2747138397502602,1.2747138397502602,1.2747138397502602,1.2747138397502602,1.2747138397502602,1.2747138397502602,,
1726178400,58160,60240,57810,60100,1.5803262063720105,1.5803262063720105,10.386628707870328,10.386628707870328,3.3356258596973865,3.3356258596973865,3.3356258596973865,3.3356258596973865,3.3356258596973865,3.3356258596973865,3.3356258596973865,3.3356258596973865,,
