time,open,high,low,close,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1771554600,24888.25,24907.25,24887,24889.75,5335,-2.5078339208773994,-2.5078339208773994,0.4054176709662454,0.4054176709662454,0.1841490903236194,0.1841490903236194,-0.06925763841490344,-0.06925763841490344,0.006026940423693911,0.006026940423693911
1771555500,24889.75,24902,24877,24896.75,5367,-2.480415197806502,-2.480415197806502,0.4336557177002128,0.4336557177002128,0.21232490742231525,0.21232490742231525,-0.04115308949291364,-0.04115308949291364,0.03415266240093217,0.03415266240093217
1771556400,24896.5,24908.5,24892.25,24904.25,3893,-2.4510379945162555,-2.4510379945162555,0.46391076777232065,0.46391076777232065,0.24251328288520368,0.24251328288520368,0.031128873536440865,0.031128873536440865,0.031128873536440865,0.031128873536440865
1771557300,24905.25,24911.25,24899.5,24902.75,2489,-2.4569134351743047,-2.4569134351743047,0.4578597577578991,0.4578597577578991,0.236475607792626,0.236475607792626,0.02510393027132328,0.02510393027132328,0.02510393027132328,0.02510393027132328
1771558200,24903.25,24906.25,24889,24890.5,3019,-2.5048962005483744,-2.5048962005483744,0.4084431759734562,0.4084431759734562,0.1871679278699082,0.1871679278699082,-0.02409977306047035,-0.02409977306047035,-0.051198136789374876,-0.051198136789374876
1771559100,24891,24903,24887.5,24890,2898,-2.506854680767724,-2.506854680767724,0.40642617263531566,0.40642617263531566,0.18515536950571568,0.18515536950571568,-0.026108087482176207,-0.026108087482176207,-0.053205906859546445,-0.053205906859546445
1771560000,24890.25,24914.25,24885.25,24912,4586,-2.4206815511163335,-2.4206815511163335,0.4951743195134988,0.4951743195134988,0.27370793753018835,0.27370793753018835,0.08738361406574863,0.08738361406574863,0.08738361406574863,0.08738361406574863
1771560900,24912.25,24914.75,24893.25,24902.25,3144,-2.4588719153936545,-2.4588719153936545,0.4558427544197586,0.4558427544197586,0.23446304942843343,0.23446304942843343,0.04821164913972339,0.04821164913972339,0.04821164913972339,0.04821164913972339
1771561800,24902.75,24903.75,24892.5,24902.75,1868,-2.4569134351743047,-2.4569134351743047,0.4578597577578991,0.4578597577578991,0.236475607792626,0.236475607792626,0.05022046785387853,0.05022046785387853,0,0
1771562700,24903,24908.75,24894.25,24902,2050,-2.4598511555033293,-2.4598511555033293,0.45483425275068834,0.45483425275068834,0.23345677024633715,0.23345677024633715,0.047207239782645814,0.047207239782645814,-0.003011715573581231,-0.003011715573581231
