time,open,high,low,close,Regime Ratio (debug),Dynamic Stop (debug),EMA Direction (debug),LOC Direction (debug),Bias Direction (debug),Regime Ratio (debug),Current Session Stop (debug),Entry Arrow Long,Entry Arrow Short,Invalidated (Long side),Invalidated (Short side),Volume,Volume MA
1784097240,30024.5,30026,30016.75,30024.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,561,530.75
1784097300,30025,30030.75,30023.25,30030,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,459,523.25
1784097360,30030,30030.5,30024,30025.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,361,521.8
1784097420,30025,30030.75,30024,30027.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,229,516.75
1784097480,30026.75,30029.25,30024.75,30024.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,155,500.85
1784097540,30026.25,30028.5,30018.5,30018.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,257,499.15
1784097600,30019.25,30022,30017.5,30019,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,370,501.6
1784097660,30018.75,30022.5,30014.75,30021.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,350,497.8
1784097720,30020.5,30026,30019.5,30021.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,343,493.15
1784097780,30021.75,30022.25,30017.75,30017.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,243,489.2
1784097840,30018,30021,30013.5,30018.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,261,490.5
1784097900,30019,30023.75,30017.25,30022.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,257,489.7
1784097960,30022,30026.25,30017.25,30024.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,411,475.15
1784098020,30024.25,30027.25,30019,30021.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,405,482.2
1784098080,30021.75,30023,30018.5,30019.75,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,260,474.7
1784098140,30020.25,30024.25,30017.5,30023.25,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,371,469.05
1784098200,30023.25,30025.75,30017.75,30025.5,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,302,420.45
1784098260,30025.25,30027.5,30015.25,30016,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,418,371.4
1784098320,30016.25,30026.5,30014.75,30024,0.00941577485379633,21.25,1,1,1,0.00941577485379633,21.25,0,0,0,0,510,358.45
