time,open,high,low,close,MA fast,MA slow,Cloud fast,Cloud medium,Cloud slow,Volume
1786025700,29608.25,29666.5,29563.5,29587,,,29562.695299471925,29495.669985571658,29495.669985571658,130366
1786026600,29587.5,29651.25,29545.5,29583.5,,,29573.097649735962,29513.235988457327,29513.235988457327,127999
1786027500,29583.5,29658.75,29532.75,29657.25,,,29615.173824867983,29542.038790765862,29542.038790765862,112466
1786028400,29656.5,29686.25,29598.75,29645.5,,,29630.33691243399,29562.73103261269,29562.73103261269,97866
1786029300,29646,29663.25,29564,29607.75,,,29619.043456216998,29571.734826090153,29571.734826090153,93729
1786030200,29607.5,29627.75,29533.25,29534.75,,,29576.8967281085,29564.33786087212,29564.33786087212,80305
1786031100,29534.5,29625.5,29505.75,29516.25,,,29546.57336405425,29554.720288697696,29554.720288697696,96246
1786032000,29516.5,29542.75,29478.5,29488,,,29517.286682027123,29541.376230958158,29541.376230958158,74872
1786032900,29488.75,29505,29448.75,29471.25,,,29494.26834101356,29527.350984766526,29527.350984766526,72190
1786033800,29471.75,29527.75,29461,29478.75,,,29486.509170506783,29517.63078781322,29517.63078781322,64620
1786034700,29478,29558.25,29468,29556.75,,,29521.62958525339,29525.454630250577,29525.454630250577,54697
1786035600,29556.75,29574.25,29515.5,29523.75,,,29522.689792626697,29525.113704200463,29525.113704200463,54273
1786036500,29524.25,29552.75,29512.25,29528,,,29525.34489631335,29525.690963360372,29525.690963360372,42239
1786037400,29527.75,29543,29493.25,29509.5,,,29517.422448156674,29522.4527706883,29522.4527706883,33995
1786038300,29509.75,29533.75,29494.5,29529.25,,,29523.33622407834,29523.81221655064,29523.81221655064,33873
1786039200,29528.75,29547.25,29505.75,29543.25,,,29533.29311203917,29527.69977324051,29527.69977324051,34334
1786040100,29543,29576,29498.5,29557.25,,,29545.271556019587,29533.60981859241,29533.60981859241,48532
1786041000,29557,29560.75,29500.75,29520.5,,,29532.885778009793,29530.98785487393,29530.98785487393,31801
1786041900,29521,29537,29506,29515.75,,,29524.317889004895,29527.940283899145,29527.940283899145,29572
1786042800,29515.75,29570.75,29510,29535.75,,,29530.033944502447,29529.502227119316,29529.502227119316,40036
1786043700,29536,29551.25,29496,29508.5,,,29519.266972251222,29525.301781695453,29525.301781695453,36113
1786044600,29507.75,29546,29488.75,29503.75,,,29511.50848612561,29520.991425356362,29520.991425356362,38973
1786045500,29503.75,29536.25,29475,29497.25,,,29504.379243062805,29516.24314028509,29516.24314028509,62478
1786046400,29496.75,29551.5,29496.25,29536,,,29520.189621531405,29520.19451222807,29520.19451222807,26099
1786047300,29536,29549,29482.75,29493.5,,,29506.844810765702,29514.855609782455,29514.855609782455,16376
1786048200,29493.5,29504.75,29480,29494,,,29500.42240538285,29510.684487825965,29510.684487825965,7670
1786049100,29494,29507,29487.25,29504.5,,,29502.461202691426,29509.447590260774,29509.447590260774,4318
1786053600,29515,29580,29494,29572,,,29537.230601345713,29521.958072208618,29521.958072208618,10668
1786054500,29572.75,29581,29542.5,29549.5,,,29543.365300672856,29527.466457766895,29527.466457766895,9801
1786055400,29549.5,29562.75,29529.25,29554,,,29548.68265033643,29532.773166213516,29532.773166213516,8682
1786056300,29554,29568,29546.75,29564.75,,,29556.716325168214,29539.168532970813,29539.168532970813,4290
1786057200,29564.75,29571,29553.75,29557.75,,,29557.233162584107,29542.88482637665,29542.88482637665,4955
1786058100,29558.5,29597.5,29558.5,29573.25,,,29565.24158129205,29548.95786110132,29548.95786110132,11411
1786059000,29574,29589,29562.25,29582.75,,,29573.995790646026,29555.716288881056,29555.716288881056,9633
1786059900,29582.5,29604,29574.5,29595.25,,,29584.622895323013,29563.623031104846,29563.623031104846,9840
1786060800,29594.5,29619.25,29562.5,29574.75,,,29579.68644766151,29565.848424883876,29565.848424883876,19816
1786061700,29575,29575.5,29496.25,29513.75,,,29546.718223830754,29555.4287399071,29555.4287399071,25658
1786062600,29514,29574.75,29500.5,29539.5,,,29543.10911191538,29552.24299192568,29552.24299192568,25371
1786063500,29539.75,29573.75,29503.25,29561.75,,,29552.42955595769,29554.144393540544,29554.144393540544,20078
1786064400,29562,29582.5,29515,29525,,,29538.714777978843,29548.315514832437,29548.315514832437,18316
1786065300,29525.75,29536,29482.75,29529.25,,,29533.98238898942,29544.50241186595,29544.50241186595,20235
1786066200,29529.25,29581.5,29493.75,29522.75,,,29528.36619449471,29540.15192949276,29540.15192949276,24767
1786067100,29521.75,29539.75,29501.75,29526.5,,,29527.433097247354,29537.42154359421,29537.42154359421,13840
1786068000,29526.75,29548.5,29489.25,29531.25,,,29529.341548623677,29536.187234875368,29536.187234875368,15398
1786068900,29531,29542.25,29514.75,29526,,,29527.67077431184,29534.149787900293,29534.149787900293,7945
1786069800,29525.5,29527.5,29476,29499,,,29513.33538715592,29527.119830320233,29527.119830320233,12762
1786070700,29498.75,29535.75,29493,29525.75,,,29519.54269357796,29526.845864256185,29526.845864256185,7791
1786071600,29526.25,29549.25,29525.25,29530.25,,,29524.89634678898,29527.52669140495,29527.52669140495,7408
1786072500,29530.25,29534,29490,29503.75,,,29514.323173394492,29522.77135312396,29522.77135312396,10469
1786073400,29504,29522.75,29496.5,29506,,,29510.161586697246,29519.417082499167,29519.417082499167,6653
1786074300,29506.5,29513,29485.5,29487.75,,,29498.95579334862,29513.083665999333,29513.083665999333,5934
1786075200,29488.75,29501.5,29463.75,29478.5,,,29488.72789667431,29506.166932799468,29506.166932799468,7969
1786076100,29478.75,29517.25,29455,29508,,,29498.363948337155,29506.533546239574,29506.533546239574,12627
1786077000,29508.75,29525.75,29492.25,29494.75,,,29496.556974168576,29504.17683699166,29504.17683699166,7016
1786077900,29494.25,29513.25,29488.75,29509.5,,,29503.028487084288,29505.24146959333,29505.24146959333,5202
1786078800,29508.75,29557,29505.5,29538.25,,,29520.639243542144,29511.843175674665,29511.843175674665,9868
1786079700,29538.25,29555,29536.5,29547.5,,,29534.069621771072,29518.974540539733,29518.974540539733,3687
1786080600,29547.25,29551,29519.25,29533.5,,,29533.784810885536,29521.87963243179,29521.87963243179,4859
1786081500,29533.75,29538.75,29522,29522.75,,,29528.26740544277,29522.05370594543,29522.05370594543,2920
1786082400,29523.25,29564.5,29520.5,29559.75,,,29544.008702721385,29529.592964756343,29529.592964756343,7291
1786083300,29559.25,29584.75,29543.75,29581,,,29562.504351360694,29539.874371805075,29539.874371805075,7622
1786084200,29580.5,29582.5,29539.25,29545.75,,,29554.127175680347,29541.04949744406,29541.04949744406,6214
1786085100,29545,29555,29536.75,29552.75,,,29553.438587840174,29543.389597955247,29543.389597955247,3893
1786086000,29552.25,29592.75,29531.75,29592.75,,,29573.094293920087,29553.261678364197,29553.261678364197,9729
1786086900,29592.25,29593,29574.5,29588,,,29580.547146960045,29560.209342691356,29560.209342691356,5032
1786087800,29588,29591.5,29570,29582.75,,,29581.648573480023,29564.717474153083,29564.717474153083,5154
1786088700,29583.25,29588.75,29562.25,29583.25,,,29582.44928674001,29568.423979322466,29568.423979322466,6087
1786089600,29584,29627.75,29583.25,29624.25,,,29603.349643370006,29579.589183457974,29579.589183457974,11735
1786090500,29624.75,29630,29599,29624,,,29613.674821685003,29588.47134676638,29588.47134676638,7462
1786091400,29624,29647.5,29609,29625.75,,,29619.7124108425,29595.927077413104,29595.927077413104,8799
