time,open,high,low,close,EMA Direction (debug),Order Sent Long,Order Sent Short,Volume,Volume MA
1785709620,28603,28624,28600.5,28621,1,0,0,964,1136.1
1785709680,28622.25,28629.25,28609.5,28627.5,1,0,0,911,1142.55
1785709740,28627.25,28629.5,28610,28613.5,1,0,0,701,1115.45
1785709800,28613.5,28619.75,28610.25,28619.5,1,0,0,490,1076.3
1785709860,28619.25,28622.25,28611.5,28614.5,1,0,0,564,1045.2
1785709920,28615,28624.25,28607,28613,1,0,0,894,999.45
1785709980,28613.75,28617.25,28608.75,28615.75,1,0,0,492,946.8
1785710040,28616.75,28620,28612,28613.75,1,0,0,389,914.3
1785710100,28615,28622.25,28610.5,28619.5,1,0,0,433,878.6
1785710160,28619.5,28619.75,28611.75,28615,1,0,0,247,863.25
1785710220,28615.5,28617.25,28611,28613.5,1,0,0,325,834.05
1785710280,28612.5,28616.25,28609.5,28610.25,1,0,0,424,784.75
1785710340,28610.25,28620,28609.75,28613,1,0,0,452,715.25
1785710400,28613,28622.5,28602.25,28619.5,1,0,0,1073,669.15
1785710460,28619.75,28620.25,28609,28611.25,1,0,0,370,641.3
1785710520,28610.75,28612.25,28595,28598.75,1,0,0,1044,652.65
1785710580,28599,28605,28595.25,28600.5,1,0,0,570,640.35
1785710640,28600.75,28606.75,28599.5,28599.5,1,0,0,362,607.05
1785710700,28599.25,28605.5,28591.25,28601,1,0,0,780,617.5
1785710760,28601.25,28604.25,28598.25,28601,1,0,0,330,590.75
1785710820,28601,28601.5,28594.5,28599.5,1,0,0,457,565.4
1785710880,28599.25,28599.25,28587.25,28591.5,1,0,0,789,559.3
1785710940,28591.25,28592.5,28587.25,28587.75,1,0,0,367,542.6
1785711000,28588.75,28593.25,28586,28586.25,1,0,0,476,541.9
1785711060,28586.5,28592,28586,28589,1,0,0,351,531.25
1785711120,28589.25,28590.5,28583.25,28584.5,1,0,0,411,507.1
1785711180,28584.75,28592.5,28583,28590.25,1,0,0,517,508.35
1785711240,28591,28591.5,28581.25,28585.5,1,0,0,568,517.3
1785711300,28584.5,28591.25,28583.5,28587,1,0,0,275,509.4
1785711360,28587.25,28589,28582,28586.75,1,0,0,305,512.3
1785711420,28587.5,28588,28580.25,28582.25,1,0,0,433,517.7
1785711480,28581.5,28583.25,28560,28564.25,1,0,0,2087,600.85
1785711540,28565.25,28579.25,28563.25,28570.5,1,0,0,1275,642
1785711600,28570,28575.75,28567,28574.5,1,0,0,571,616.9
1785711660,28574,28591.25,28573.25,28586.75,1,0,0,1225,659.65
1785711720,28587,28588,28579.25,28584.25,1,0,0,543,634.6
1785711780,28585,28590,28570.25,28572,1,0,0,1209,666.55
1785711840,28572.25,28578.75,28570.5,28577,1,0,0,610,678.95
1785711900,28577,28579,28572,28572.25,1,0,0,328,656.35
1785711960,28573.25,28589.75,28569.5,28584.25,1,0,0,1072,693.45
1785712020,28584.25,28585,28570,28570,1,0,0,637,702.45
1785712080,28571.25,28571.5,28554.5,28558.5,1,0,0,1740,750
1785712140,28557,28560,28552,28552.25,1,0,0,803,771.8
1785712200,28552,28557,28551.5,28555.75,1,0,0,532,774.6
1785712260,28555,28558,28541.5,28547.25,1,0,0,1207,817.4
1785712320,28547.25,28565.5,28544.5,28560.5,1,0,0,1329,863.3
1785712380,28561.25,28563.75,28555.75,28561,1,0,0,560,865.45
1785712440,28561,28566.75,28555.25,28557.5,1,0,0,634,868.75
1785712500,28557.5,28565.5,28556,28561.25,1,0,0,412,875.6
1785712560,28561.75,28563.75,28560.5,28561,1,0,0,255,873.1
1785712620,28561.25,28561.25,28553,28557.5,1,0,0,657,884.3
1785712680,28558.5,28562,28553.75,28562,1,0,0,535,806.7
1785712740,28561.25,28562.75,28558.25,28561,1,0,0,288,757.35
1785712800,28561,28564.5,28557.75,28558.75,1,0,0,208,739.2
1785712860,28558.25,28564.5,28555.5,28563.25,1,0,0,429,699.4
1785712920,28562.75,28598,28559.5,28580.5,1,0,0,3152,829.85
1785712980,28582.25,28595.25,28576.5,28578.5,1,0,0,1665,852.65
1785713040,28578.25,28592.5,28578.25,28590.5,1,0,0,1038,874.05
1785713100,28589.5,28595,28584.5,28586.75,1,0,0,826,898.95
1785713160,28586.25,28594.25,28582.25,28586.5,1,0,0,717,881.2
1785713220,28586.75,28592.75,28583.75,28592,1,0,0,375,868.1
1785713280,28592.25,28592.75,28578.5,28583.5,1,0,0,671,814.65
1785713340,28583.75,28587.5,28581.75,28585.25,1,0,0,256,787.3
1785713400,28585.5,28603.5,28585.5,28598.25,1,0,0,1151,818.25
1785713460,28598,28599,28591.25,28593.25,1,0,0,615,788.65
1785713520,28593.25,28594.75,28586,28592.5,1,0,0,503,747.35
1785713580,28593.25,28622,28579,28582.25,1,0,0,1922,815.45
1785713640,28582.5,28590.75,28579,28589.75,1,0,0,731,820.3
1785713700,28589.5,28589.5,28580.5,28581.75,1,0,0,373,818.35
1785713760,28582.75,28588.75,28580.75,28587.25,1,0,0,337,822.45
1785713820,28586.25,28587.5,28579.5,28582.75,1,0,0,319,805.55
1785713880,28581,28591.75,28579,28590.5,1,0,0,635,810.55
