time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),HTF EMA Value (debug),Order Sent Long,Order Sent Short
1785756660,28501.5,28511.5,28489,28495.5,,1094,830.8,-1,28502.709116755457,0,0
1785756720,28495.75,28503.25,28492.75,28502.25,,925,836.05,-1,28502.709116755457,0,0
1785756780,28504.5,28508.5,28500.75,28503,,612,838.3,1,28502.709116755457,0,0
1785756840,28503,28507,28501.75,28506,,362,825.9,1,28502.709116755457,0,0
1785756900,28505.25,28513.5,28501,28501.75,,927,843.2,-1,28502.709116755457,0,0
1785756960,28501.75,28506.5,28496,28496.75,,809,836.3,-1,28502.709116755457,0,0
1785757020,28496.75,28501.5,28490.25,28491,,729,826.4,-1,28502.709116755457,0,0
1785757080,28490.75,28495.5,28461.5,28464,,1770,863.45,-1,28502.709116755457,0,0
1785757140,28464.25,28469.25,28457.25,28459.75,,1365,904.9,-1,28502.709116755457,0,0
1785757200,28459.25,28461.75,28450.5,28453.25,,1248,932.55,-1,28502.709116755457,0,0
1785757260,28452.75,28459.75,28450.5,28458.5,,997,937.7,-1,28502.709116755457,0,0
1785757320,28457.75,28462,28453.5,28460,,636,920.05,-1,28502.709116755457,0,0
1785757380,28459,28462,28453,28459.25,,548,924.1,-1,28502.709116755457,0,0
1785757440,28458.75,28477,28458,28475,28493.472744503637,1396,975.75,-1,28502.709116755457,0,0
1785757500,28474.5,28477.5,28460.25,28469.5,,914,969.35,-1,28493.472744503637,0,0
1785757560,28471,28473.25,28464.25,28470.25,,722,955.75,-1,28493.472744503637,0,0
1785757620,28469.75,28472.25,28460.75,28464,,648,944.9,-1,28493.472744503637,0,0
1785757680,28464.75,28466.25,28442.5,28446,,1819,1006.2,-1,28493.472744503637,0,0
1785757740,28445.5,28461.75,28445.5,28457.75,,1501,1047.4,-1,28493.472744503637,0,0
1785757800,28457.5,28457.5,28436,28436,,1663,1034.25,-1,28493.472744503637,0,0
1785757860,28436,28439,28423.75,28428.25,,1570,1058.05,-1,28493.472744503637,0,0
1785757920,28428,28431,28419.25,28424.25,,1190,1071.3,-1,28493.472744503637,0,0
1785757980,28424.25,28426.5,28410,28419.75,,1557,1118.55,-1,28493.472744503637,0,0
1785758040,28419.25,28422,28410.25,28412.75,,1019,1151.4,-1,28493.472744503637,0,0
1785758100,28411.75,28415.75,28406.75,28406.75,,1177,1163.9,-1,28493.472744503637,0,0
1785758160,28406.5,28416.25,28403.5,28413.5,,1206,1183.75,-1,28493.472744503637,0,0
1785758220,28413.5,28417.75,28405,28416.25,,924,1193.5,-1,28493.472744503637,0,0
1785758280,28417,28418.25,28406.75,28416.5,,1172,1163.6,-1,28493.472744503637,0,0
1785758340,28416.75,28423,28409,28420,28468.98182966909,1203,1155.5,-1,28493.472744503637,0,0
1785758400,28419.5,28420.75,28401,28403.75,,1917,1188.95,-1,28468.98182966909,0,0
1785758460,28402.75,28404.5,28391,28397.75,,1674,1222.8,-1,28468.98182966909,0,0
1785758520,28397.75,28405,28393.75,28401,,1214,1251.7,-1,28468.98182966909,0,0
1785758580,28401.5,28403,28391,28394,,1344,1291.5,-1,28468.98182966909,0,0
1785758640,28395.25,28409,28389.25,28395.75,,1740,1308.7,-1,28468.98182966909,0,0
1785758700,28395.5,28401.5,28388,28390.25,,1110,1318.5,-1,28468.98182966909,0,0
1785758760,28390.75,28392.75,28382.75,28385.75,,1439,1354.35,-1,28468.98182966909,0,0
