time,open,high,low,close,TheStrat Label 1,TheStrat Label 2,TheStrat Label 3,2-1-2 BLR,2-1-2 BLC,3-1-2 BLR,3-2-2 BLR,Rev Strat 1-2-2 BLR,2-2 BLR,2-1-2 BRR,2-1-2 BRC,3-1-2 BRR,3-2-2 BRR,Rev Strat 1-2-2 BRR,2-2 BRR,Double Inside,PMG BLR,PMG BRR,Volume,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status,TFC Value,TFC Status
1569009600,7815,7820.6,7801.2,7808.1,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13331,1.787250684395781,1.787250684395781,-1.0229692728932134,-1.0229692728932134,-1.1019493103317246,-1.1019493103317246,-0.0882917466410702,-0.0882917466410702
1569189600,7808.1,7873.4,7808.1,7859.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15241,2.456003128666401,2.456003128666401,0.6570100280477872,0.6570100280477872,0.6570100280477872,0.6570100280477872,0.6570100280477872,0.6570100280477872
1569193200,7859.4,7864.9,7850.8,7852.8,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4786,2.369964802502935,2.369964802502935,0.5724824221001245,0.5724824221001245,0.5724824221001245,0.5724824221001245,-0.08397587602106338,-0.08397587602106338
1569196800,7852.8,7859.9,7850.1,7853.7,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5860,2.3816973015252225,2.3816973015252225,0.5840089138202565,0.5840089138202565,0.5840089138202565,0.5840089138202565,0.01146088019559439,0.01146088019559439
1569200400,7853.7,7864.9,7843.2,7844.1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8381,2.2565506452874513,2.2565506452874513,0.4610596688054712,0.4610596688054712,0.4610596688054712,0.4610596688054712,-0.12223537950264785,-0.12223537950264785
1569204000,7844.1,7848.9,7837.6,7842.1,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8434,2.2304784252379135,2.2304784252379135,0.43544524276072283,0.43544524276072283,0.43544524276072283,0.43544524276072283,-0.025496870259175686,-0.025496870259175686
1569207600,7842.1,7845.6,7838.7,7843.6,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4002,2.2500325902750666,2.2500325902750666,0.4546560622942841,0.4546560622942841,0.4546560622942841,0.4546560622942841,0.01912752961579169,0.01912752961579169
1569211200,7843.6,7846.1,7840.1,7841.3,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447,2.220049537218096,2.220049537218096,0.4251994723428212,0.4251994723428212,0.4251994723428212,0.4251994723428212,-0.029323269927076623,-0.029323269927076623
1569214800,7841.3,7851.4,7840.1,7849.3,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4013,2.3243384174162456,2.3243384174162456,0.5276571765218148,0.5276571765218148,0.5276571765218148,0.5276571765218148,0.10202389909836379,0.10202389909836379
1569218400,7849.3,7853.9,7843.5,7850.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5572,2.3386781384434836,2.3386781384434836,0.5417451108464194,0.5417451108464194,0.5417451108464194,0.5417451108464194,0.01401398850852247,0.01401398850852247
1569222000,7850.4,7861.6,7810.3,7812.5,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30635,1.844609568504758,1.844609568504758,0.056351737298441826,0.056351737298441826,0.056351737298441826,0.056351737298441826,-0.48277794762049875,-0.48277794762049875
1569225600,7812.5,7818.7,7790.2,7794.6,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30517,1.6112631990614048,1.6112631990614048,-0.1728973758020517,-0.1728973758020517,-0.1728973758020517,-0.1728973758020517,-0.22911999999999533,-0.22911999999999533
1569229200,7794.6,7819.4,7792.9,7814.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14694,1.869378177551814,1.869378177551814,0.08068544204094814,0.08068544204094814,0.08068544204094814,0.08068544204094814,0.25402201524131157,0.25402201524131157
1569232800,7814.4,7823.9,7812.3,7821.3,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9676,1.9593273367227244,1.9593273367227244,0.16905521189533712,0.16905521189533712,0.16905521189533712,0.16905521189533712,0.08829852579853278,0.08829852579853278
1569236400,7821.3,7824.8,7812,7812.8,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8315,1.8485204015121912,1.8485204015121912,0.06019390120515641,0.06019390120515641,0.06019390120515641,0.06019390120515641,-0.10867758556761663,-0.10867758556761663
1569240000,7812.8,7819.1,7803.3,7816.4,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10700,1.895450397601351,1.895450397601351,0.10629986808569655,0.10629986808569655,0.10629986808569655,0.10629986808569655,0.04607823059593813,0.04607823059593813
1569243600,7816.4,7824.8,7795.8,7812.4,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83446,1.8433059575022768,1.8433059575022768,0.05507101599619975,0.05507101599619975,0.05507101599619975,0.05507101599619975,-0.05117445371270662,-0.05117445371270662
1569247200,7812.4,7819.4,7784.8,7796.6,0,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,63966,1.637335419110942,1.637335419110942,-0.1472829497573033,-0.1472829497573033,-0.1472829497573033,-0.1472829497573033,-0.2022425887051261,-0.2022425887051261
