Time,Open,High,Low,Latest,Change,%Change,Volume
"2025-03-18 05:10",19953,19963.75,19945.5,19962.5,9.25,+0.05%,3838
"2025-03-18 05:05",19974,19977.5,19947.5,19953.25,-20.25,-0.10%,3268
"2025-03-18 05:00",19981.25,19986,19968,19973.5,-8.5,-0.04%,2066
"2025-03-18 04:55",20000.25,20003.25,19978,19982,-19.,-0.09%,2590
"2025-03-18 04:50",20000.5,20004.5,19993.75,20001,0.25,0.00%,1622
"2025-03-18 04:45",20004.5,20007.5,19994.75,20000.75,-3.5,-0.02%,1490
"2025-03-18 04:40",20003,20006.5,19993.75,20004.25,1.75,+0.01%,1753
"2025-03-18 04:35",20014.25,20017.75,20001.25,20002.5,-11.75,-0.06%,2629
"2025-03-18 04:30",20021.75,20025.25,20011.5,20014.25,-6.75,-0.03%,1804
"2025-03-18 04:25",20019.75,20025,20012.25,20021,0.5,0.00%,1976
"2025-03-18 04:20",20034.25,20034.5,20019.5,20020.5,-13.5,-0.07%,1012
"2025-03-18 04:15",20022.75,20037.5,20021.5,20034,11.25,+0.06%,1342
"2025-03-18 04:10",20020.75,20024.25,20018,20022.75,2.25,+0.01%,781
"2025-03-18 04:05",20022,20024.75,20013,20020.5,-1.5,-0.01%,904
"2025-03-18 04:00",20024.5,20031.5,20016.25,20022,-2.25,-0.01%,1488
"2025-03-18 03:55",20009.75,20024.75,20004.5,20024.25,15,+0.07%,1406
"2025-03-18 03:50",20010.75,20015,20006.5,20009.25,-1.75,-0.01%,1000
"2025-03-18 03:45",20016,20018.75,20007,20011,-5.75,-0.03%,1505
"2025-03-18 03:40",20037.75,20038.25,20016,20016.75,-21.,-0.10%,1876
"2025-03-18 03:35",20026.5,20038,20022.75,20037.75,10.5,+0.05%,1861
"2025-03-18 03:30",20016.25,20033.25,20014,20027.25,10.75,+0.05%,2516
"2025-03-18 03:25",20013.5,20019,20006,20016.5,2.75,+0.01%,1548
"2025-03-18 03:20",20012.5,20022.5,20007,20013.75,0.75,0.00%,1806
"2025-03-18 03:15",20003,20013.25,20001.5,20013,9.75,+0.05%,1984
"2025-03-18 03:10",19994.5,20003.5,19990.5,20003.25,8.25,+0.04%,1655
"2025-03-18 03:05",19974.5,19997,19973.5,19995,19.75,+0.10%,1907
"2025-03-18 03:00",19981,19985.5,19969.25,19975.25,-5.25,-0.03%,2796
"2025-03-18 02:55",19978,19985.25,19973,19980.5,2.75,+0.01%,797
"2025-03-18 02:50",19978,19985.5,19976.25,19977.75,0,0.00%,644
"2025-03-18 02:45",19981.5,19981.5,19974,19977.75,-3.75,-0.02%,745
"2025-03-18 02:40",19985,19985.5,19978,19981.5,-3.75,-0.02%,464
"2025-03-18 02:35",19985.5,19988.25,19980.5,19985.25,-0.75,0.00%,911
"2025-03-18 02:30",19984.25,19988.75,19976.5,19986,1.5,+0.01%,1037
"2025-03-18 02:25",19966.75,19986.75,19965.25,19984.5,18,+0.09%,1900
"2025-03-18 02:20",19966.75,19970.25,19961,19966.5,0.25,0.00%,797
"2025-03-18 02:15",19964.75,19969.25,19962.5,19966.25,1.5,+0.01%,563
"2025-03-18 02:10",19978,19979,19962.25,19964.75,-13.25,-0.07%,982
"2025-03-18 02:05",19967.75,19979.5,19967,19978,9.5,+0.05%,678
"2025-03-18 02:00",19976,19976.75,19965,19968.5,-7.25,-0.04%,1321
"2025-03-18 01:55",19975.25,19978.25,19973,19975.75,0.25,0.00%,481
"2025-03-18 01:50",19975.75,19980.25,19974.5,19975.5,-0.25,0.00%,589
"2025-03-18 01:45",19973.75,19976.75,19969.75,19975.75,1.75,+0.01%,491
"2025-03-18 01:40",19963.75,19976.25,19963.25,19974,10.75,+0.05%,856
"2025-03-18 01:35",19970.5,19971.75,19958.25,19963.25,-7.75,-0.04%,649
"2025-03-18 01:30",19970.75,19972,19963.25,19971,1.25,+0.01%,654
"2025-03-18 01:25",19962.25,19971.25,19961.5,19969.75,6,+0.03%,792
"2025-03-18 01:20",19955.5,19967,19954.75,19963.75,8.25,+0.04%,1093
"2025-03-18 01:15",19951,19956.5,19949.25,19955.5,4.5,+0.02%,554
"2025-03-18 01:10",19946.75,19955.75,19943.25,19951,4,+0.02%,1006
"2025-03-18 01:05",19946.5,19949,19944,19947,0.25,0.00%,299
"2025-03-18 01:00",19951,19955,19941.5,19946.75,-4.75,-0.02%,746
"2025-03-18 00:55",19952.5,19954.25,19948.25,19951.5,-1.25,-0.01%,1071
"2025-03-18 00:50",19951,19952.75,19944.5,19952.75,2,+0.01%,714
"2025-03-18 00:45",19936,19952.25,19935.5,19950.75,15,+0.08%,1177
"2025-03-18 00:40",19936.25,19937.5,19932.75,19935.75,-0.25,0.00%,277
"2025-03-18 00:35",19934,19937.5,19932,19936,2.75,+0.01%,396
"2025-03-18 00:30",19934.75,19936.25,19930.25,19933.25,-1.,-0.01%,510
"2025-03-18 00:25",19935.25,19940,19932.75,19934.25,-1.,-0.01%,441
"2025-03-18 00:20",19936.75,19938.5,19934.75,19935.25,-2.,-0.01%,264
"2025-03-18 00:15",19940,19942.75,19934,19937.25,-1.75,-0.01%,514
"2025-03-18 00:10",19939,19944.25,19937.5,19939,-0.25,0.00%,637
"2025-03-18 00:05",19937.5,19940.75,19934.25,19939.25,2.25,+0.01%,566
"2025-03-18 00:00",19928.5,19939.25,19927.75,19937,8.25,+0.04%,621
"2025-03-17 23:55",19933.75,19934.75,19924.75,19928.75,-5.25,-0.03%,741
"2025-03-17 23:50",19932,19935.25,19931.25,19934,1.75,+0.01%,430
"2025-03-17 23:45",19929.25,19933.25,19925.5,19932.25,3,+0.02%,658
"2025-03-17 23:40",19938.25,19938.25,19920.25,19929.25,-8.75,-0.04%,2365
"2025-03-17 23:35",19943.5,19945,19929.75,19938,-4.75,-0.02%,852
"2025-03-17 23:30",19946,19948.25,19941.25,19942.75,-3.,-0.02%,390
"2025-03-17 23:25",19946.75,19948.5,19943.25,19945.75,-2.,-0.01%,342
"2025-03-17 23:20",19954,19954.5,19946.25,19947.75,-6.5,-0.03%,459
"2025-03-17 23:15",19951.5,19955.75,19949.75,19954.25,2.5,+0.01%,459
"2025-03-17 23:10",19945.5,19953,19945,19951.75,6.5,+0.03%,397
"2025-03-17 23:05",19942.75,19950.5,19942.5,19945.25,2,+0.01%,732
"2025-03-17 23:00",19940.5,19946,19939.75,19943.25,2,+0.01%,370
"2025-03-17 22:55",19945,19947.75,19940.25,19941.25,-3.5,-0.02%,431
"2025-03-17 22:50",19942.5,19945.75,19938.5,19944.75,2.25,+0.01%,535
"2025-03-17 22:45",19947,19949.25,19935.25,19942.5,-4.75,-0.02%,1350
"2025-03-17 22:40",19951.5,19953.75,19945.75,19947.25,-4.25,-0.02%,383
"2025-03-17 22:35",19952,19953.5,19946.25,19951.5,-0.75,0.00%,443
"2025-03-17 22:30",19951.5,19955.25,19949.5,19952.25,0.5,0.00%,501
"2025-03-17 22:25",19952.5,19952.5,19948.75,19951.75,-1.75,-0.01%,335
"2025-03-17 22:20",19952,19955.5,19948.75,19953.5,2,+0.01%,601
"2025-03-17 22:15",19961.25,19961.5,19943,19951.5,-9.5,-0.05%,1126
"2025-03-17 22:10",19958,19961.25,19957.5,19961,2.5,+0.01%,436
"2025-03-17 22:05",19968.5,19969.5,19947.75,19958.5,-10.25,-0.05%,1702
"2025-03-17 22:00",19970.75,19974.25,19967.25,19968.75,-2.,-0.01%,370
