time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1785459120,28482.5,28493,28481,28490,,787,1002.95,1,0,0,0,0
1785459180,28490.25,28493,28484.5,28487.5,,613,961.5,1,0,0,0,0
1785459240,28487.75,28490.75,28479.5,28481.75,,566,938.35,1,0,0,0,0
1785459300,28482,28496.75,28480,28495.75,,794,927.7,1,0,0,0,0
1785459360,28495,28500.75,28493.25,28500.25,,923,896.25,1,0,0,0,0
1785459420,28500.25,28504.75,28496.5,28503,,829,896.05,1,0,0,0,0
1785459480,28502.25,28515.75,28502.25,28514,,1539,923.25,1,0,0,0,0
1785459540,28514,28525,28514,28522,28481.573559204884,1623,955.9,1,0,0,0,0
1785459600,28522.75,28537.5,28522.75,28534,,2637,1035.75,1,0,0,0,0
1785459660,28534,28548,28532.75,28546.75,,2137,1092.65,1,0,0,0,0
1785459720,28547,28552.25,28543.5,28545,,1576,1127.65,1,0,0,0,0
1785459780,28545,28547.75,28540.25,28542,,1060,1142.6,1,0,0,0,0
1785459840,28542.25,28550,28541.25,28548.75,,913,1155.45,1,0,0,0,0
1785459900,28549,28560,28545.25,28558,,1624,1200.8,1,1,0,0,0
1785459960,28557.75,28567.75,28557.75,28565.25,,2071,1201.55,1,0,0,0,0
1785460020,28565,28570,28561.5,28562.5,,1333,1207.95,1,0,0,0,0
1785460080,28561.75,28565.5,28559.25,28564.75,,1020,1221.45,1,0,0,0,0
1785460140,28564.25,28569.25,28562.25,28566.5,,907,1225.4,1,0,0,0,0
1785460200,28566.25,28568.5,28561.75,28562,,732,1220.25,1,0,0,0,0
1785460260,28562.75,28567.25,28558,28559.5,,1193,1243.85,1,0,0,0,0
1785460320,28559.5,28563.75,28555.5,28562.25,,1051,1257.05,1,0,0,0,0
1785460380,28561.75,28564.5,28559,28561.5,,526,1252.7,1,0,0,0,0
1785460440,28561.25,28563.25,28555,28561,28508.049039469923,739,1261.35,1,0,0,0,0
1785460500,28560.25,28580,28558,28569.75,,1639,1303.6,1,0,0,0,0
1785460560,28569,28572.5,28563.25,28565.75,,972,1306.05,1,0,0,0,0
1785460620,28565.75,28570.75,28562.5,28565.5,,629,1296.05,1,0,0,0,0
1785460680,28566.25,28572,28557.5,28558.25,,822,1260.2,1,0,0,0,0
1785460740,28559,28563.25,28558,28560.25,,503,1204.2,1,0,0,0,0
1785460800,28559.75,28571.75,28557.5,28569,,914,1118.05,1,0,0,0,0
1785460860,28569.5,28571.5,28565.75,28569.25,,682,1045.3,1,0,0,0,0
1785460920,28569.25,28570,28566.75,28569.75,,379,985.45,1,0,0,0,0
1785460980,28569.75,28572.5,28557.75,28558.5,,894,977.15,1,0,0,0,0
1785461040,28558.5,28559,28547.5,28555.25,,1424,1002.7,1,0,0,0,0
1785461100,28555,28568,28554,28564.75,,900,966.5,1,0,0,0,0
1785461160,28565,28571.25,28564.25,28568.5,,753,900.6,1,0,0,0,0
1785461220,28568.25,28570.75,28556,28556.25,,895,878.7,1,0,0,0,0
1785461280,28557,28558.75,28548.5,28552.5,,641,859.75,1,0,0,0,0
1785461340,28552.5,28553,28542.75,28550,28522.03269297995,982,863.5,1,0,0,0,0
1785461400,28549.5,28559.25,28543.5,28551.5,,1160,884.9,1,0,0,0,0
1785461460,28550,28551.75,28536.5,28537,,1342,892.35,1,0,0,0,0
1785461520,28536.75,28537.5,28525.25,28531.75,,2236,951.6,1,0,0,0,0
1785461580,28532.5,28540.5,28530.5,28539.25,,917,971.15,1,0,0,0,0
1785461640,28539.25,28542,28525,28536.5,,1341,1001.25,1,0,0,0,0
1785461700,28536.75,28537.5,28518.5,28523.25,,1510,994.8,1,0,0,0,0
1785461760,28522,28522.5,28515.25,28517.25,,1507,1021.55,1,0,0,0,0
1785461820,28517.75,28518.25,28500,28511.75,,2565,1118.35,1,0,0,0,0
1785461880,28512,28512.5,28501,28506.75,,977,1126.1,-1,0,0,0,0
1785461940,28507,28511.5,28502,28508,,909,1146.4,-1,0,1,0,0
1785462000,28508.25,28512.5,28490.5,28501.25,,1855,1193.45,-1,0,0,0,0
1785462060,28500.75,28508.25,28496.25,28497.5,,995,1209.1,-1,0,0,0,0
1785462120,28497.75,28510,28497.5,28507,,801,1230.2,-1,0,0,0,0
1785462180,28506.75,28508.25,28490.75,28495.5,,1042,1237.6,-1,0,0,0,0
1785462240,28496.25,28498,28488.5,28497.5,28513.8551286533,981,1215.45,-1,0,0,0,0
1785462300,28498,28500.25,28489.25,28490,,911,1216,-1,0,0,0,0
1785462360,28489.75,28492.5,28480.75,28483.25,,1385,1247.6,-1,0,0,0,0
1785462420,28483.25,28485.25,28465,28469.75,,2135,1309.6,-1,0,0,0,0
1785462480,28470,28484,28466.25,28471.25,,1808,1367.95,-1,0,0,0,0
1785462540,28471,28483,28466.5,28467.75,,973,1367.5,-1,0,0,0,0
1785462600,28468.25,28471,28455,28460.25,,2100,1414.5,-1,0,0,0,0
1785462660,28460,28474.5,28456.5,28468.25,,1837,1439.25,-1,0,0,0,0
1785462720,28468.5,28487,28467.5,28480.5,,1727,1413.8,-1,0,0,0,0
1785462780,28480.75,28482.75,28471.5,28472,,825,1409.2,-1,0,0,0,0
