time,open,high,low,close,EMA Direction (debug),HTF EMA Value (debug),SCRIPT VERSION: EXPERIMENTAL (dollar_tp/sl),Order Sent Long,Order Sent Short,Volume,Volume MA
1785782040,28890.5,28900.25,28884.75,28893.25,-1,28897.276374727768,1,0,0,3177,3005.15
1785782100,28893,28897.75,28890.5,28895.25,-1,28897.276374727768,1,0,0,1508,2915.05
1785782160,28895.25,28899.5,28882.25,28889.25,-1,28897.276374727768,1,0,0,2769,2960.05
1785782220,28889.5,28892,28883,28891.75,-1,28897.276374727768,1,0,0,2076,2943.2
1785782280,28891.75,28898.75,28884.25,28898.5,1,28897.276374727768,1,0,0,2108,2879.3
1785782340,28898,28902.75,28887.25,28890,-1,28897.276374727768,1,0,0,3211,2890.05
1785782400,28890,28894.5,28885.75,28894.5,-1,28897.276374727768,1,0,0,1731,2784.35
1785782460,28894.5,28903.5,28887.75,28902.75,1,28897.276374727768,1,0,0,2074,2727.3
1785782520,28903,28905.25,28896.5,28898.5,1,28897.276374727768,1,0,0,2529,2745.5
1785782580,28898.25,28906.5,28897.5,28905.5,1,28897.276374727768,1,1,0,1661,2759.85
1785782640,28905.5,28914.25,28905.25,28913.25,1,28897.276374727768,1,0,0,3135,2809.55
1785782700,28913.25,28923,28904.25,28907.75,1,28902.60091648518,1,0,0,4790,2896.6
1785782760,28907.75,28909.5,28892.5,28907.75,1,28902.60091648518,1,0,0,3910,2962.95
1785782820,28907.5,28909,28897.75,28901.5,-1,28902.60091648518,1,0,0,1860,2808.55
1785782880,28901.25,28914.5,28899.5,28914,1,28902.60091648518,1,0,0,1954,2714
1785782940,28914,28922.75,28911.75,28921.5,1,28902.60091648518,1,0,0,2557,2717.85
1785783000,28921.75,28924.75,28911.25,28912.75,1,28902.60091648518,1,0,0,2860,2610.05
1785783060,28912.5,28918.5,28909.5,28915.75,1,28902.60091648518,1,0,0,1846,2544.65
1785783120,28915.75,28922.75,28913.75,28915.75,1,28902.60091648518,1,0,0,2203,2548.25
1785783180,28916.25,28928.75,28914.75,28922.5,1,28902.60091648518,1,0,0,2681,2532
1785783240,28921.5,28923.75,28914,28915,1,28902.60091648518,1,0,0,1734,2459.85
1785783300,28914.75,28918.5,28911.75,28912.5,1,28902.60091648518,1,0,0,1411,2455
1785783360,28912.5,28915.75,28906.75,28907.25,1,28902.60091648518,1,0,0,1929,2413
1785783420,28907.25,28912.25,28904,28912.25,1,28902.60091648518,1,0,0,1738,2396.1
1785783480,28912.25,28917.75,28908.5,28914.75,1,28902.60091648518,1,0,0,1700,2375.7
1785783540,28915,28917.5,28906.25,28907.5,1,28902.60091648518,1,0,0,1582,2294.25
1785783600,28907.5,28935.5,28906.25,28924.75,1,28904.233944323452,1,0,0,5506,2483
1785783660,28924.5,28943,28922.25,28937.5,1,28904.233944323452,1,0,0,4243,2591.45
1785783720,28937.5,28943.75,28936.75,28937.5,1,28904.233944323452,1,0,0,2814,2605.7
1785783780,28937.25,28941,28932,28937.5,1,28904.233944323452,1,0,0,2599,2652.6
1785783840,28937.75,28939,28928.75,28933.5,1,28904.233944323452,1,0,0,1621,2576.9
1785783900,28934,28936.75,28912,28922.25,1,28904.233944323452,1,0,0,3891,2531.95
1785783960,28921.75,28929.5,28911,28926,1,28904.233944323452,1,0,0,3146,2493.75
1785784020,28926.75,28927,28917.75,28917.75,1,28904.233944323452,1,0,0,1646,2483.05
1785784080,28917.75,28918,28900,28915,1,28904.233944323452,1,0,0,4124,2591.55
1785784140,28914.5,28915.75,28908,28909.25,1,28904.233944323452,1,0,0,1428,2535.1
1785784200,28909.5,28916,28906.75,28909.5,1,28904.233944323452,1,0,0,2265,2505.35
1785784260,28909.75,28920,28908.25,28917.5,1,28904.233944323452,1,0,0,1957,2510.9
1785784320,28917.75,28919.75,28911.25,28914.75,1,28904.233944323452,1,0,0,1665,2484
1785784380,28914,28914.5,28894.25,28900.5,-1,28904.233944323452,1,0,0,3461,2523
1785784440,28901,28905.25,28895.75,28900,-1,28904.233944323452,1,0,0,2201,2546.35
1785784500,28899.75,28911.5,28898.75,28909,1,28902.82262954897,1,0,0,2904,2621
1785784560,28909.5,28914.75,28903.5,28908.25,1,28902.82262954897,1,0,0,2175,2633.3
