time,open,high,low,close,EMA,Volume,Volume MA,EMA Direction (debug),Order Sent Long,Order Sent Short,Cancelled (Long side),Cancelled (Short side)
1785411060,27709.25,27711.5,27697.25,27699.25,,1166,926.65,1,0,0,0,0
1785411120,27698.75,27705.75,27679.25,27679.25,,2045,986.55,1,0,0,0,0
1785411180,27680.25,27682.25,27673.5,27678.75,,1355,1013.4,1,0,0,0,0
1785411240,27677.5,27688.75,27674,27681,,1074,1045.3,1,0,0,0,0
1785411300,27680.5,27692.5,27679.75,27688.75,,951,1055.35,1,0,0,0,0
1785411360,27688.5,27704.5,27688,27702.75,,1251,1074.85,1,0,0,0,0
1785411420,27703.75,27717,27700.5,27715.25,,1189,1073.5,1,0,0,0,0
1785411480,27715.25,27725,27714.25,27724.5,,1144,1054.5,1,0,0,0,0
1785411540,27724.25,27727,27699.75,27699.75,,1268,1073.05,1,0,0,0,0
1785411600,27699.25,27710,27697,27707.25,,905,1081.85,1,0,0,0,0
1785411660,27707.75,27711.75,27689.25,27691.75,,1373,1119.85,1,0,0,0,0
1785411720,27691.25,27711.25,27688.25,27705.5,,1312,1154.85,1,0,0,0,0
1785411780,27707.25,27723,27705,27719,,958,1164.55,1,0,0,0,0
1785411840,27718.5,27719,27699.75,27700.75,27667.156940670768,1260,1160,1,0,0,0,0
1785411900,27701.5,27720.5,27700.5,27719.75,,1065,1155.8,1,0,0,0,0
1785411960,27719.5,27719.75,27711,27716.75,,580,1139.25,1,0,0,0,0
1785412020,27716.75,27724,27711.75,27714,,1106,1146.3,1,0,0,0,0
1785412080,27713.5,27730.5,27713.5,27728,,1127,1130.1,1,0,0,0,0
1785412140,27728.75,27733.5,27726.25,27728.25,,1102,1151.9,1,0,0,0,0
1785412200,27728.75,27739,27725.75,27736.5,,1046,1163.85,1,1,0,0,0
1785412260,27737,27739.75,27719,27723.25,,1291,1170.1,1,0,0,0,0
1785412320,27723.5,27734.25,27720.75,27723,,907,1113.2,1,0,0,0,0
1785412380,27722.5,27735.5,27722,27734.25,,662,1078.55,1,0,0,0,0
1785412440,27734,27744,27732.25,27740.25,,1180,1083.85,1,0,0,0,0
1785412500,27740.25,27745,27729.25,27730.25,,809,1076.75,1,0,0,0,0
1785412560,27730.25,27736.25,27726.25,27726.25,,664,1047.4,1,0,0,0,0
1785412620,27726.5,27730.75,27722.75,27729,,550,1015.45,1,0,0,0,0
1785412680,27728.25,27737.75,27727.25,27730,,725,994.5,1,0,0,0,0
1785412740,27730.25,27731.25,27721,27724.25,27686.18796044718,551,958.65,1,0,0,0,0
1785412800,27724.25,27734,27716,27718.5,,1321,979.45,1,0,0,0,0
1785412860,27719,27721.25,27695.5,27699,,2166,1019.1,1,0,0,0,0
1785412920,27699.5,27727.75,27698.75,27723.25,,1517,1029.35,1,0,0,0,0
1785412980,27722.75,27749,27719.5,27747.25,,1916,1077.25,1,0,0,0,0
1785413040,27747.5,27753,27739.75,27745.75,,1420,1085.25,1,0,0,0,0
1785413100,27745.5,27754,27738,27753.25,,1291,1096.55,1,1,0,0,0
1785413160,27752.5,27757.5,27747.25,27754.25,,1162,1125.65,1,0,0,0,0
1785413220,27753.75,27755.75,27745.5,27754.5,,998,1120.25,1,0,0,0,0
1785413280,27753.75,27758.25,27746,27746.25,,979,1112.85,1,0,0,0,0
1785413340,27746,27759.75,27744,27754.75,,1225,1119,1,0,0,0,0
1785413400,27755.25,27760.5,27752.25,27757.5,,966,1115,1,0,0,0,0
1785413460,27758.25,27758.5,27745,27746,,967,1098.8,1,0,0,0,0
1785413520,27747,27756.75,27735.75,27748,,1605,1133.7,1,0,0,0,0
1785413580,27747.75,27760.5,27745.25,27758.25,,878,1144.5,1,0,0,0,0
1785413640,27758.25,27766,27753.75,27762.5,27711.625306964786,1001,1135.55,1,0,0,0,0
1785413700,27762.75,27766,27751.75,27751.75,,844,1137.3,1,0,0,0,0
1785413760,27751.5,27757,27745,27750.5,,1170,1162.6,1,0,0,0,0
1785413820,27750.75,27751,27741,27746,,755,1172.85,1,0,0,0,0
1785413880,27745,27748.5,27737,27748,,1059,1189.55,1,0,0,0,0
1785413940,27748,27754.25,27740.25,27742.75,,1074,1215.7,1,0,0,0,0
1785414000,27742.75,27743,27714.25,27724.25,,1951,1247.2,1,0,0,0,0
1785414060,27724.25,27734,27721.75,27724.75,,1201,1198.95,1,0,0,0,0
1785414120,27724.5,27729.25,27719.25,27724.25,,888,1167.5,1,0,0,0,0
1785414180,27724.75,27742,27722.75,27742,,930,1118.2,1,0,0,0,0
1785414240,27742,27752,27739.25,27746.25,,1415,1117.95,1,0,0,0,0
1785414300,27746.75,27756.5,27740.5,27744,,1083,1107.55,1,0,0,0,0
1785414360,27743.25,27759.25,27739.25,27752,,1341,1116.5,1,0,0,0,0
1785414420,27751.25,27752.75,27735.25,27737.25,,870,1110.1,1,0,0,0,0
1785414480,27737,27737.25,27723.25,27728.5,,846,1103.45,1,0,0,0,0
1785414540,27727.25,27748.75,27721,27741,27721.41687130986,927,1088.55,1,0,0,0,0
1785414600,27738.75,27790.75,27733.5,27774,,4242,1252.35,1,0,0,0,0
1785414660,27772.5,27774,27736.75,27742.5,,2493,1328.65,1,0,0,0,0
1785414720,27743.75,27748.25,27724.5,27735.75,,2336,1365.2,1,0,0,0,0
1785414780,27735.75,27746,27730.25,27732.25,,1278,1385.2,1,0,0,0,0
1785414840,27732.5,27745,27715,27742.5,,2546,1462.45,1,0,0,0,0
1785414900,27742.25,27771.5,27733,27771,,2728,1556.65,1,0,0,0,0
1785414960,27771.5,27787.25,27762.25,27774.75,,2803,1638.3,1,0,0,0,0
